Single
3648
Scan 0,   
1197, 96.0
1198, 90.0
1199,101.0
1200, 96.0
1201, 97.0
1202, 91.0
1203, 96.0
1204, 90.0
1205, 98.0
1206, 91.0
1207, 93.0
1208, 96.0
1209, 91.0
1210, 93.0
1211, 95.0
1212, 91.0
1213,100.0
1214, 95.0
1215, 97.0
1216,100.0
1217, 96.0
1218, 98.0
1219, 96.0
1220, 98.0
1221,100.0
1222, 95.0
1223, 98.0
1224, 92.0
1225, 96.0
1226, 95.0
1227, 90.0
1228, 93.0
1229, 93.0
1230, 93.0
1231, 97.0
1232, 99.0
1233, 92.0
1234, 97.0
1235, 98.0
1236, 94.0
1237,100.0
1238, 94.0
1239, 97.0
1240, 96.0
1241, 95.0
1242, 92.0
1243, 99.0
1244, 96.0
1245, 96.0
1246, 91.0
1247, 95.0
1248,100.0
1249, 95.0
1250, 91.0
1251, 90.0
1252, 97.0
1253, 94.0
1254, 94.0
1255, 92.0
1256, 93.0
1257, 97.0
1258, 95.0
1259, 95.0
1260, 98.0
1261, 92.0
1262, 92.0
1263, 98.0
1264, 96.0
1265, 93.0
1266, 88.0
1267, 93.0
1268, 94.0
1269, 93.0
1270, 96.0
1271, 96.0
1272, 93.0
1273, 97.0
1274, 90.0
1275, 94.0
1276, 98.0
1277, 96.0
1278, 97.0
1279, 98.0
1280, 95.0
1281, 97.0
1282, 97.0
1283, 97.0
1284, 92.0
1285, 93.0
1286, 92.0
1287, 94.0
1288, 93.0
1289, 93.0
1290, 94.0
1291, 97.0
1292, 94.0
1293, 97.0
1294, 95.0
1295, 97.0
1296, 99.0
1297, 92.0
1298, 98.0
1299, 97.0
1300, 99.0
1301,101.0
1302, 97.0
1303,100.0
1304, 95.0
1305, 95.0
1306, 96.0
1307, 93.0
1308, 96.0
1309, 95.0
1310, 95.0
1311, 96.0
1312, 93.0
1313, 95.0
1314, 95.0
1315, 92.0
1316, 89.0
1317, 94.0
1318, 96.0
1319, 94.0
1320, 96.0
1321, 98.0
1322, 89.0
1323, 95.0
1324, 92.0
1325,100.0
1326, 97.0
1327, 93.0
1328, 95.0
1329, 97.0
1330, 98.0
1331, 95.0
1332, 95.0
1333, 94.0
1334, 91.0
1335, 97.0
1336,100.0
1337, 94.0
1338, 95.0
1339, 94.0
1340, 98.0
1341, 91.0
1342, 92.0
1343, 91.0
1344, 95.0
1345, 90.0
1346, 91.0
1347, 99.0
1348, 93.0
1349, 92.0
1350, 95.0
1351, 95.0
1352, 93.0
1353, 93.0
1354, 97.0
1355, 95.0
1356, 94.0
1357,100.0
1358, 93.0
1359, 93.0
1360, 97.0
1361,101.0
1362, 92.0
1363, 98.0
1364, 92.0
1365, 97.0
1366, 98.0
1367, 98.0
1368, 98.0
1369,100.0
1370, 97.0
1371, 94.0
1372, 97.0
1373, 95.0
1374, 95.0
1375, 96.0
1376, 98.0
1377, 91.0
1378, 94.0
1379, 98.0
1380, 90.0
1381, 96.0
1382, 97.0
1383, 99.0
1384,104.0
1385, 96.0
1386, 95.0
1387, 91.0
1388, 95.0
1389, 94.0
1390, 92.0
1391, 95.0
1392, 98.0
1393, 93.0
1394, 95.0
1395, 95.0
1396, 95.0
1397, 91.0
1398, 93.0
1399, 96.0
1400, 94.0
1401, 93.0
1402, 94.0
1403, 94.0
1404, 96.0
1405, 94.0
1406, 91.0
1407, 98.0
1408, 97.0
1409, 95.0
1410, 97.0
1411, 93.0
1412, 93.0
1413, 92.0
1414, 95.0
1415, 99.0
1416, 97.0
1417, 94.0
1418, 95.0
1419, 97.0
1420, 93.0
1421, 96.0
1422, 97.0
1423, 91.0
1424, 96.0
1425, 94.0
1426, 96.0
1427, 90.0
1428, 96.0
1429, 92.0
1430, 94.0
1431, 95.0
1432, 99.0
1433, 97.0
1434, 95.0
1435, 95.0
1436, 95.0
1437, 96.0
1438, 91.0
1439, 91.0
1440, 95.0
1441, 93.0
1442, 91.0
1443, 93.0
1444, 94.0
1445, 95.0
1446, 92.0
1447, 97.0
1448, 91.0
1449, 95.0
1450, 95.0
1451, 95.0
1452, 94.0
1453, 93.0
1454, 93.0
1455, 94.0
1456, 96.0
1457, 99.0
1458, 92.0
1459, 96.0
1460, 92.0
1461, 93.0
1462, 94.0
1463, 92.0
1464, 93.0
1465, 93.0
1466, 94.0
1467, 92.0
1468, 94.0
1469, 94.0
1470, 95.0
1471, 96.0
1472, 93.0
1473, 96.0
1474, 90.0
1475, 96.0
1476, 95.0
1477, 95.0
1478, 92.0
1479, 95.0
1480, 96.0
1481, 98.0
1482, 93.0
1483, 95.0
1484, 95.0
1485, 96.0
1486, 92.0
1487, 92.0
1488, 94.0
1489, 94.0
1490, 95.0
1491, 95.0
1492, 94.0
1493, 99.0
1494, 94.0
1495,101.0
1496, 95.0
1497, 95.0
1498, 95.0
1499, 94.0
1500, 96.0
1501, 94.0
1502, 93.0
1503, 98.0
1504, 96.0
1505, 90.0
1506, 92.0
1507, 90.0
1508, 95.0
1509, 94.0
1510, 89.0
1511, 97.0
1512, 93.0
1513, 99.0
1514, 97.0
1515, 92.0
1516, 98.0
1517, 94.0
1518, 95.0
1519, 94.0
1520, 94.0
1521, 98.0
1522, 95.0
1523, 98.0
1524, 91.0
1525, 98.0
1526, 86.0
1527, 96.0
1528, 95.0
1529, 92.0
1530, 91.0
1531, 95.0
1532,100.0
1533, 94.0
1534, 93.0
1535, 96.0
1536, 92.0
1537, 99.0
1538, 90.0
1539, 95.0
1540, 90.0
1541, 94.0
1542,100.0
1543, 93.0
1544, 95.0
1545, 98.0
1546, 93.0
1547, 97.0
1548, 92.0
1549, 94.0
1550, 97.0
1551, 94.0
1552, 94.0
1553, 94.0
1554, 95.0
1555, 93.0
1556, 85.0
1557, 96.0
1558, 94.0
1559, 89.0
1560, 92.0
1561, 92.0
1562, 96.0
1563, 96.0
1564, 94.0
1565, 94.0
1566, 95.0
1567, 94.0
1568, 90.0
1569, 95.0
1570, 92.0
1571, 92.0
1572, 98.0
1573, 94.0
1574, 95.0
1575, 99.0
1576, 99.0
1577, 92.0
1578, 96.0
1579, 94.0
1580, 97.0
1581, 95.0
1582, 90.0
1583, 94.0
1584, 94.0
1585, 93.0
1586, 95.0
1587, 98.0
1588, 95.0
1589, 96.0
1590, 95.0
1591, 94.0
1592, 95.0
1593, 95.0
1594, 98.0
1595, 95.0
1596, 98.0
1597, 95.0
1598, 95.0
1599, 97.0
1600, 90.0
1601, 91.0
1602, 94.0
1603, 94.0
1604, 91.0
1605, 97.0
1606, 93.0
1607,101.0
1608, 94.0
1609, 91.0
1610, 99.0
1611, 95.0
1612, 93.0
1613, 95.0
1614, 97.0
1615, 94.0
1616, 98.0
1617, 94.0
1618, 92.0
1619, 98.0
1620, 95.0
1621, 96.0
1622, 95.0
1623, 95.0
1624, 99.0
1625, 95.0
