Single
3648
Scan 0,   
1379, 94.0
1380, 94.0
1381, 91.0
1382, 94.0
1383, 94.0
1384, 89.0
1385, 91.0
1386, 94.0
1387, 90.0
1388, 91.0
1389, 89.0
1390, 95.0
1391, 92.0
1392, 95.0
1393, 93.0
1394, 92.0
1395, 88.0
1396, 96.0
1397, 88.0
1398, 94.0
1399, 91.0
1400, 88.0
1401, 89.0
1402, 91.0
1403, 90.0
1404, 95.0
1405, 95.0
1406, 95.0
1407, 87.0
1408, 95.0
1409, 89.0
1410, 91.0
1411, 90.0
1412, 92.0
1413, 88.0
1414, 90.0
1415, 91.0
1416, 89.0
1417, 91.0
1418, 89.0
1419, 92.0
1420, 92.0
1421, 87.0
1422, 91.0
1423, 92.0
1424, 91.0
1425, 90.0
1426, 91.0
1427, 90.0
1428, 93.0
1429, 87.0
1430, 93.0
1431, 95.0
1432, 90.0
1433, 88.0
1434, 92.0
1435, 90.0
1436, 90.0
1437, 90.0
1438, 90.0
1439, 89.0
1440, 90.0
1441, 89.0
1442, 97.0
1443, 94.0
1444, 94.0
1445, 86.0
1446, 91.0
1447, 96.0
1448, 92.0
1449, 89.0
1450, 94.0
1451, 94.0
1452, 93.0
1453, 91.0
1454, 93.0
1455, 91.0
1456, 86.0
1457, 92.0
1458, 89.0
1459, 89.0
1460, 90.0
1461, 89.0
1462, 90.0
1463, 93.0
1464, 93.0
1465, 87.0
1466, 93.0
1467, 88.0
1468, 96.0
1469, 89.0
1470, 89.0
1471, 90.0
1472, 95.0
1473, 92.0
1474, 92.0
1475, 88.0
1476, 92.0
1477, 91.0
1478, 91.0
1479, 89.0
1480, 93.0
1481, 95.0
1482, 89.0
1483, 92.0
1484, 88.0
1485, 94.0
1486, 90.0
1487, 91.0
1488, 93.0
1489, 89.0
1490, 86.0
1491, 90.0
1492, 93.0
1493, 93.0
1494, 94.0
1495, 90.0
1496, 90.0
1497, 92.0
1498, 95.0
1499, 92.0
1500, 95.0
1501, 86.0
1502, 92.0
1503, 91.0
1504, 94.0
