Single
3648
Scan 0,   
1248, 95.0
1249, 92.0
1250, 94.0
1251, 94.0
1252, 97.0
1253, 96.0
1254, 95.0
1255, 93.0
1256, 94.0
1257, 95.0
1258, 95.0
1259, 94.0
1260, 98.0
1261, 97.0
1262, 96.0
1263, 91.0
1264, 96.0
1265, 98.0
1266, 90.0
1267, 92.0
1268, 92.0
1269, 93.0
1270, 98.0
1271, 93.0
1272, 91.0
1273, 94.0
1274, 92.0
1275, 91.0
1276, 96.0
1277, 94.0
1278, 90.0
1279, 95.0
1280, 94.0
1281, 98.0
1282, 95.0
1283, 94.0
1284, 91.0
1285, 96.0
1286, 97.0
1287, 94.0
1288, 96.0
1289, 93.0
1290, 96.0
1291, 97.0
1292, 94.0
1293, 93.0
1294, 92.0
1295, 97.0
1296, 95.0
1297, 94.0
1298, 92.0
1299, 93.0
1300, 94.0
1301, 96.0
1302, 90.0
1303, 95.0
1304, 92.0
1305, 93.0
1306, 95.0
1307, 91.0
1308, 97.0
1309, 92.0
1310, 95.0
1311, 95.0
1312, 92.0
1313, 97.0
1314,100.0
1315, 93.0
1316, 90.0
1317, 94.0
1318, 90.0
1319, 96.0
1320, 93.0
1321, 91.0
1322, 94.0
1323, 93.0
1324, 93.0
1325, 95.0
1326, 97.0
1327, 96.0
1328, 95.0
1329, 95.0
1330, 92.0
1331, 97.0
1332, 95.0
1333, 90.0
1334, 94.0
1335, 96.0
1336, 95.0
1337, 88.0
1338, 98.0
1339, 93.0
1340, 93.0
1341, 95.0
1342, 92.0
1343, 95.0
1344, 93.0
1345, 94.0
1346, 95.0
1347, 98.0
1348, 95.0
1349, 97.0
1350, 95.0
1351, 94.0
1352, 91.0
1353, 94.0
1354, 94.0
1355, 96.0
1356, 94.0
1357, 95.0
1358, 91.0
1359, 93.0
1360, 95.0
1361, 91.0
1362, 96.0
1363, 95.0
1364, 89.0
1365,100.0
1366, 92.0
1367, 95.0
1368, 96.0
1369, 93.0
1370, 94.0
1371, 97.0
1372, 93.0
1373, 95.0
1374, 93.0
1375, 94.0
1376, 93.0
1377, 89.0
1378, 95.0
1379, 92.0
1380, 90.0
1381, 95.0
1382, 90.0
1383, 95.0
1384, 95.0
1385, 96.0
1386, 95.0
1387, 91.0
1388, 91.0
1389, 95.0
1390, 93.0
1391, 96.0
1392, 94.0
1393, 90.0
1394, 91.0
1395, 99.0
1396, 95.0
1397, 91.0
1398, 92.0
1399, 98.0
1400, 94.0
1401, 97.0
1402, 92.0
1403, 94.0
1404, 89.0
1405, 93.0
1406, 92.0
1407, 94.0
1408, 93.0
1409, 94.0
1410, 93.0
1411, 96.0
1412, 95.0
1413, 93.0
1414, 90.0
1415, 95.0
1416, 95.0
1417, 97.0
1418, 91.0
1419, 90.0
1420, 99.0
1421, 94.0
1422, 91.0
1423, 94.0
1424, 90.0
1425, 92.0
1426, 98.0
1427, 94.0
1428, 97.0
1429, 97.0
1430, 97.0
1431, 93.0
1432, 95.0
1433, 94.0
1434, 94.0
1435, 95.0
1436, 93.0
1437, 95.0
1438, 95.0
1439, 94.0
1440, 94.0
1441, 89.0
1442, 90.0
1443, 95.0
1444, 96.0
1445, 87.0
1446, 88.0
1447, 99.0
1448, 92.0
1449, 94.0
1450, 93.0
1451, 89.0
1452, 92.0
1453, 90.0
1454, 92.0
1455, 96.0
1456, 90.0
1457, 93.0
1458, 93.0
1459, 90.0
1460, 88.0
1461, 94.0
1462, 93.0
1463, 91.0
1464, 95.0
1465, 93.0
1466, 92.0
1467, 95.0
1468, 98.0
1469, 92.0
1470, 92.0
1471, 93.0
1472, 97.0
1473, 95.0
1474, 92.0
1475, 91.0
1476, 93.0
1477, 91.0
1478, 92.0
1479, 90.0
1480, 92.0
1481, 93.0
1482, 95.0
1483, 91.0
1484, 93.0
1485, 96.0
1486, 85.0
1487, 97.0
1488, 95.0
1489, 92.0
1490, 93.0
1491, 91.0
1492, 93.0
1493, 93.0
1494, 89.0
1495, 91.0
1496, 93.0
1497, 90.0
1498, 95.0
1499, 94.0
1500, 95.0
1501, 94.0
1502, 96.0
1503, 87.0
1504, 93.0
1505, 90.0
1506, 93.0
1507, 96.0
1508, 93.0
1509, 93.0
1510, 92.0
1511, 90.0
1512, 95.0
1513, 95.0
1514, 95.0
1515, 99.0
1516, 96.0
1517, 95.0
1518, 91.0
1519, 97.0
1520, 95.0
1521, 95.0
1522, 96.0
1523, 93.0
1524, 90.0
1525, 90.0
1526, 92.0
1527, 93.0
1528, 91.0
1529, 96.0
1530, 95.0
1531, 93.0
1532, 96.0
1533, 94.0
1534, 90.0
1535, 91.0
1536, 92.0
1537, 98.0
1538, 91.0
1539, 94.0
1540, 95.0
1541, 92.0
1542, 91.0
1543, 91.0
1544, 95.0
1545, 95.0
1546, 91.0
1547, 95.0
1548, 93.0
1549, 95.0
1550, 94.0
1551, 93.0
1552, 91.0
1553, 96.0
1554, 91.0
1555, 96.0
1556, 92.0
1557, 95.0
1558, 88.0
1559, 98.0
1560, 95.0
1561, 92.0
1562, 93.0
1563, 90.0
1564, 92.0
1565, 94.0
1566, 95.0
1567, 91.0
1568, 94.0
1569, 96.0
1570, 93.0
1571, 93.0
1572, 88.0
1573, 92.0
1574, 95.0
1575, 89.0
1576, 96.0
1577, 94.0
1578, 93.0
1579, 91.0
1580, 89.0
1581, 93.0
1582, 97.0
1583, 89.0
1584,100.0
1585, 91.0
1586, 96.0
1587, 94.0
1588, 91.0
1589, 93.0
1590, 96.0
1591, 97.0
1592, 92.0
1593, 94.0
1594, 94.0
1595, 95.0
1596, 95.0
1597, 94.0
1598, 93.0
1599, 92.0
1600, 92.0
1601, 95.0
1602, 90.0
1603, 92.0
1604, 89.0
1605, 91.0
1606, 95.0
1607, 91.0
1608, 94.0
1609, 95.0
1610, 93.0
1611, 92.0
1612, 93.0
1613, 98.0
1614, 92.0
1615, 93.0
1616, 96.0
1617, 94.0
1618, 93.0
1619, 91.0
1620, 95.0
1621, 94.0
1622, 91.0
1623, 93.0
1624, 89.0
1625, 94.0
1626, 95.0
1627, 93.0
1628, 93.0
1629, 91.0
1630, 92.0
1631, 87.0
1632, 96.0
1633, 94.0
1634, 92.0
1635, 92.0
1636, 93.0
1637, 94.0
1638, 95.0
1639, 94.0
1640, 91.0
1641, 99.0
1642, 89.0
1643, 95.0
1644, 95.0
1645, 97.0
1646, 95.0
1647, 94.0
1648, 92.0
1649, 98.0
1650, 94.0
1651, 97.0
1652, 92.0
1653, 98.0
1654, 97.0
1655, 90.0
1656, 93.0
1657, 91.0
1658, 94.0
1659, 96.0
1660, 95.0
1661, 96.0
1662, 94.0
1663, 97.0
1664, 88.0
1665, 98.0
1666, 91.0
1667, 90.0
1668, 92.0
1669, 91.0
1670, 96.0
1671, 93.0
1672, 95.0
1673, 95.0
1674, 96.0
1675, 93.0
1676, 93.0
1677, 99.0
1678, 93.0
1679, 95.0
1680, 93.0
1681, 92.0
1682, 94.0
1683, 96.0
1684, 97.0
1685, 94.0
1686, 96.0
1687, 95.0
1688, 94.0
1689, 95.0
1690, 95.0
1691, 96.0
1692, 92.0
1693, 92.0
1694, 92.0
1695, 97.0
1696, 92.0
1697, 97.0
1698, 93.0
1699, 97.0
1700, 92.0
1701, 97.0
1702, 93.0
1703, 96.0
1704, 98.0
1705, 95.0
1706, 93.0
1707, 92.0
1708, 97.0
1709, 96.0
1710, 94.0
1711,100.0
1712, 94.0
1713, 95.0
1714, 94.0
1715, 95.0
1716, 99.0
1717, 94.0
1718, 95.0
1719, 98.0
1720, 94.0
1721, 93.0
1722, 92.0
1723, 98.0
1724, 95.0
1725, 98.0
1726, 97.0
1727, 94.0
1728, 93.0
1729, 98.0
1730, 96.0
1731, 95.0
1732, 98.0
1733,101.0
1734, 97.0
1735, 91.0
1736, 93.0
1737, 97.0
1738, 95.0
1739, 95.0
1740, 98.0
1741, 92.0
1742, 91.0
1743, 97.0
1744, 96.0
1745,101.0
1746, 93.0
1747, 98.0
1748, 95.0
1749, 96.0
1750, 96.0
1751, 97.0
1752,101.0
1753,101.0
1754,104.0
1755,101.0
1756,101.0
1757,104.0
1758, 98.0
1759,105.0
1760,102.0
1761,105.0
1762,104.0
1763,110.0
1764,111.0
1765,107.0
1766,109.0
1767,108.0
1768,110.0
1769,104.0
1770,112.0
1771,110.0
1772,109.0
1773,116.0
1774,116.0
1775,117.0
1776,105.0
1777,114.0
1778,114.0
1779,126.0
1780,130.0
1781,142.0
1782,133.0
1783,129.0
1784,124.0
1785,126.0
1786,146.0
1787,191.0
1788,216.0
1789,228.0
1790,200.0
1791,167.0
1792,165.0
1793,211.0
1794,350.0
1795,598.0
1796,991.0
1797,1472.0
1798,1939.0
1799,2214.0
1800,2178.0
1801,1892.0
1802,1394.0
1803,894.0
1804,493.0
1805,280.0
1806,182.0
1807,161.0
1808,171.0
1809,184.0
1810,184.0
1811,178.0
1812,168.0
1813,153.0
1814,137.0
1815,126.0
1816,117.0
1817,118.0
1818,116.0
1819,126.0
1820,122.0
1821,131.0
1822,127.0
1823,119.0
1824,113.0
1825,109.0
1826,111.0
1827,103.0
1828,110.0
1829,104.0
1830,105.0
1831,108.0
1832,111.0
1833,113.0
1834,105.0
1835,105.0
1836,102.0
1837,104.0
1838,102.0
1839,102.0
1840,103.0
1841,102.0
1842, 98.0
1843, 97.0
1844,100.0
1845,101.0
1846,102.0
1847, 99.0
1848,101.0
1849,100.0
1850,100.0
1851, 95.0
1852, 91.0
1853, 95.0
1854, 96.0
1855, 97.0
1856, 94.0
1857, 97.0
1858,100.0
1859, 99.0
1860, 92.0
1861, 98.0
1862, 94.0
1863,100.0
1864, 97.0
1865,101.0
1866, 96.0
1867, 98.0
1868, 95.0
1869, 95.0
1870, 98.0
1871, 92.0
1872, 95.0
1873, 90.0
1874, 96.0
1875, 96.0
1876, 95.0
1877, 95.0
1878, 96.0
1879, 91.0
